,종목코드,종목명,종류
711,025320,시노펙스,KOSDAQ
712,025530,SJM홀딩스,KOSPI
713,025540,한국단자,KOSPI
714,025550,한국선재,KOSDAQ
715,025560,미래산업,KOSPI
716,025750,한솔홈데코,KOSPI
717,025770,한국정보통신,KOSDAQ
718,025820,이구산업,KOSPI
719,025860,남해화학,KOSPI
720,025870,신라에스지,KOSDAQ
721,025880,케이씨피드,KOSDAQ
722,025890,한국주강,KOSPI
723,025900,동화홀딩스,KOSDAQ
724,025950,동신건설,KOSDAQ
725,025980,에머슨퍼시픽,KOSDAQ
726,026040,제이에스티나,KOSDAQ
727,026150,특수건설,KOSDAQ
728,026180,현대정보기술,KOSDAQ
729,026260,카테아,KOSDAQ
730,026890,디피씨,KOSPI
731,026910,광진실업,KOSDAQ
732,026940,부국철강,KOSPI
733,026960,동서,KOSDAQ
734,027040,서울전자통신,KOSDAQ
735,027050,코리아나,KOSDAQ
736,027390,한화타임월드,KOSPI
737,027410,BGF,KOSPI
738,027580,상보,KOSDAQ
739,027710,팜스토리,KOSDAQ
740,027740,마니커,KOSPI
741,027830,대성창투,KOSDAQ
742,027970,세하,KOSPI
743,028050,삼성엔지니어링,KOSPI
744,028080,휴맥스홀딩스,KOSDAQ
745,028100,동아지질,KOSPI
746,028150,GS홈쇼핑,KOSDAQ
747,028260,삼성물산,KOSPI
748,02826K,삼성물산우B,KOSPI
749,028300,에이치엘비,KOSDAQ
750,028670,STX팬오션,KOSPI
751,029460,케이씨,KOSPI
752,029530,신도리코,KOSPI
753,029780,삼성카드,KOSPI
754,029960,코엔텍,KOSDAQ
755,030000,제일기획,KOSPI
756,030190,NICE평가정보,KOSDAQ
757,030200,KT,KOSPI
758,030210,KTB투자증권,KOSPI
759,030270,에스마크,KOSDAQ
760,030350,드래곤플라이,KOSDAQ
761,030520,한글과컴퓨터,KOSDAQ
762,030530,원익홀딩스,KOSDAQ
763,030610,교보증권,KOSPI
764,030720,동원수산,KOSPI
765,030790,동양네트웍스,KOSPI
766,030960,양지사,KOSDAQ
767,031310,아이즈비전,KOSDAQ
768,031330,에스에이엠티,KOSDAQ
769,031390,녹십자셀,KOSDAQ
770,031430,신세계인터내셔날,KOSPI
771,031440,신세계푸드,KOSPI
772,031510,오스템,KOSDAQ
773,031820,콤텍시스템,KOSPI
774,031860,엔에스엔,KOSDAQ
775,031980,피에스케이,KOSDAQ
776,032040,C&S;자산관리,KOSDAQ
777,032080,아즈텍WB,KOSDAQ
778,032190,다우데이타,KOSDAQ
779,032280,삼일,KOSDAQ
780,032350,롯데관광개발,KOSPI
781,032500,케이엠더블유,KOSDAQ
782,032540,TJ미디어,KOSDAQ
783,032560,황금에스티,KOSPI
784,032580,피델릭스,KOSDAQ
785,032620,유비케어,KOSDAQ
786,032640,LG유플러스,KOSPI
787,032680,비티씨정보,KOSDAQ
788,032685,비티씨정보우,KOSDAQ
